Rank,Player,Team,Position,"FHG Value","Games Played",W,SO,SV%,G,A,+/-,PIM,SOG,PPP,BKS
314,"Derek Morris",ARI,D,-27,63," "," "," ",5,12,-2,41,82,1,104
315,"RJ Umberger",PHI,LW,-27,74," "," "," ",18,16,-3,26,136,12,36
316,"Mark Letestu",CBJ,C,-27,82," "," "," ",12,22,1,20,122,10,25
317,"Robyn Regehr",LAK,D,-27,79," "," "," ",3,11,6,46,73,0,96
318,"Matt Cooke",MIN,LW,-28,82," "," "," ",10,18,8,54,104,2,61
319,"Pavel Datsyuk",DET,C/LW,-28,45," "," "," ",17,20,1,6,126,12,22
320,"Kris Letang",PIT,D,-28,37," "," "," ",11,11,-8,16,108,12,51
321,"Seth Jones",NSH,D,-28,77," "," "," ",6,19,-23,24,100,7,99
322,"Maxime Talbot",COL,C/RW,-28,81," "," "," ",8,19,5,45,124,1,46
323,"Ryan Murray",CBJ,D,-29,66," "," "," ",4,17,4,10,62,7,97
324,"Nino Niederreiter",MIN,RW,-29,81," "," "," ",14,22,12,44,143,6,23
325,"Chris Stewart",BUF,RW,-29,63," "," "," ",15,11,0,118,110,3,9
326,"Sami Vatanen",ANA,D,-29,48," "," "," ",6,15,9,22,73,7,47
327,"Jeff Petry",EDM,D,-29,80," "," "," ",7,10,-22,42,96,2,132
328,"Josh Gorges",BUF,D,-30,66," "," "," ",1,13,6,12,35,1,177
329,"Milan Michalek",OTT,LW/RW,-30,82," "," "," ",17,22,-25,41,169,8,31
330,"Jared Cowen",OTT,D,-30,68," "," "," ",6,9,0,45,68,1,99
331,"Christopher Tanev",VAN,D,-30,64," "," "," ",6,11,12,8,65,0,136
332,"Brooks Orpik",WSH,D,-30,71," "," "," ",2,10,-3,46,48,0,141
333,"Marco Scandella",MIN,D,-30,76," "," "," ",3,14,10,20,80,0,102
334,"Chris Phillips",OTT,D,-30,70," "," "," ",1,14,-12,30,90,8,95
335,"Loui Eriksson",BOS,LW/RW,-30,61," "," "," ",10,27,14,6,115,11,13
336,"Kyle Brodziak",MIN,C,-31,81," "," "," ",8,16,0,61,115,1,41
337,"Matt Beleskey",ANA,LW,-31,55," "," "," ",9,15,8,64,112,4,24
338,"Nathan Guenin",COL,D,-31,68," "," "," ",1,8,3,46,52,0,128
339,"Mikhail Grabovski",NYI,C/RW,-31,58," "," "," ",13,22,6,26,81,8,22
340,"Eric Gryba",OTT,D,-32,57," "," "," ",2,9,9,64,57,0,60
341,"Brian Boyle",TBL,C,-32,81," "," "," ",6,12,1,54,135,2,54
342,"Cody McLeod",COL,LW,-32,71," "," "," ",5,8,2,122,76,0,33
343,"Marcus Kruger",CHI,C,-32,81," "," "," ",8,20,6,36,96,0,70
344,"Sam Gagner",ARI,C/RW,-32,67," "," "," ",10,27,-29,41,143,7,34
345,"Carl Hagelin",NYR,LW,-32,71," "," "," ",16,16,7,42,140,0,33
346,"Ron Hainsey",CAR,D,-33,80," "," "," ",4,10,-8,43,72,0,121
347,"Vladimir Tarasenko",STL,RW,-33,64," "," "," ",21,22,20,16,136,7,9
348,"Sami Salo",TBL,D,-33,71," "," "," ",4,13,11,18,81,4,66
349,"Raphael Diaz",NYR,D,-33,63," "," "," ",2,13,-2,16,68,4,127
350,"Zack Kassian",VAN,RW,-33,73," "," "," ",14,15,-4,124,91,1,6
351,"Nick Bjugstad",FLA,C,-34,76," "," "," ",16,22,-14,16,185,3,23
352,"Matt Hendricks",EDM,C,-34,77," "," "," ",5,2,-11,112,102,0,59
353,"Mike Weber",BUF,D,-34,68," "," "," ",1,8,-29,73,47,0,161
354,"Thomas Greiss",PIT,G,-34,26,10,3,0.92," "," "," "," "," "," "," "
355,"Mark Scheifele",WPG,C,-34,63," "," "," ",13,21,9,14,100,4,39
356,"Brad Stuart",COL,D,-34,61," "," "," ",3,8,4,35,64,0,114
357,"Calvin de Haan",NYI,D,-35,51," "," "," ",3,13,-7,30,71,3,104
358,"Al Montoya",FLA,G,-35,29,13,2,0.92," "," "," "," "," "," "," "
359,"John Moore",NYR,D,-35,73," "," "," ",4,10,6,25,112,2,57
360,"Mike Weaver",MTL,D,-35,72," "," "," ",1,12,0,31,53,0,128
361,"Jamie McBain",BUF,D,-35,69," "," "," ",6,11,-13,14,98,5,113
362,"Josh Bailey",NYI,LW,-36,77," "," "," ",8,30,-8,26,98,10,29
363,"Colin Wilson",NSH,C/LW,-36,81," "," "," ",11,22,-1,21,112,5,35
364,"Charlie Coyle",MIN,C/RW,-36,70," "," "," ",12,18,-7,33,135,3,37
365,"Jakub Kindl",DET,D,-36,66," "," "," ",2,17,-4,24,93,7,42
366,"Robert Bortuzzo",PIT,D,-36,53," "," "," ",0,10,-4,72,48,0,73
367,"Dainius Zubrus",NJD,C/RW,-36,82," "," "," ",13,13,1,46,121,0,39
368,"Ales Hemsky",DAL,RW,-36,75," "," "," ",13,30,-15,24,138,13,33
369,"Ryan Stanton",VAN,D,-36,64," "," "," ",1,15,5,32,65,0,81
370,"Teddy Purcell",EDM,RW,-36,81," "," "," ",12,30,-3,14,157,12,12
371,"Mika Zibanejad",OTT,C/RW,-37,69," "," "," ",16,17,-15,18,153,8,28
372,"Nikita Nikitin",EDM,D,-37,66," "," "," ",2,13,9,20,95,0,72
373,"Andrew Desjardins",SJS,C,-37,81," "," "," ",3,14,-8,86,95,0,43
374,"Brenden Morrow",TBL,LW,-37,71," "," "," ",13,12,1,76,56,7,20
375,"Ray Whitney",DAL,LW,-37,69," "," "," ",9,23,-6,14,124,15,16
376,"Brandon Prust",MTL,LW,-37,52," "," "," ",6,7,-1,121,49,1,35
377,"Karri Ramo",CGY,G,-38,40,17,3,0.911," "," "," "," "," "," "," "
378,"Matt Donovan",NYI,D,-38,52," "," "," ",2,14,-9,26,86,6,72
379,"Scott Hannan",SJS,D,-38,56," "," "," ",3,9,1,55,52,0,73
380,"David Savard",CBJ,D,-38,70," "," "," ",5,10,2,28,63,3,81
381,"Anton Stralman",TBL,D,-38,80," "," "," ",1,12,7,26,103,0,63
382,"Jimmy Howard",DET,G,-38,51,21,2,0.91," "," "," "," "," "," "," "
383,"Rich Clune",NSH,LW,-39,58," "," "," ",3,4,-7,166,29,0,9
384,"Kevan Miller",BOS,D,-39,47," "," "," ",1,5,20,38,41,0,85
385,"Alex Galchenyuk",MTL,C/LW,-39,65," "," "," ",13,18,-12,26,110,10,25
386,"Lee Stempniak",NYR,LW/RW,-39,73," "," "," ",12,22,-16,32,178,4,21
387,"Justin Abdelkader",DET,LW/RW,-39,70," "," "," ",10,18,2,31,147,3,31
388,"Vernon Fiddler",DAL,C/LW,-39,76," "," "," ",6,17,3,37,109,1,52
389,"Dennis Wideman",CGY,D,-39,46," "," "," ",4,17,-15,18,102,4,75
390,"Zac Rinaldo",PHI,C/LW,-39,67," "," "," ",2,2,-13,153,54,0,12
391,"Clayton Stoner",ANA,D,-40,63," "," "," ",1,4,-6,84,48,0,65
392,"Sean Bergenheim",FLA,LW,-40,62," "," "," ",16,13,-16,40,190,4,18
393,"Ian Cole",STL,D,-40,46," "," "," ",3,8,15,31,45,2,68
394,"Jonathan Huberdeau",FLA,C/LW,-40,69," "," "," ",9,19,-5,37,108,5,23
395,"Marc Staal",NYR,D,-40,71," "," "," ",3,11,-1,24,91,1,81
396,"Daniel Winnik",TOR,LW,-40,76," "," "," ",6,24,6,23,115,0,62
397,"Nate Prosser",MIN,D,-41,53," "," "," ",2,6,2,58,30,1,83
398,"Tom Wilson",WSH,RW,-41,82," "," "," ",3,7,1,151,63,1,13
399,"Saku Koivu",ANA,C,-41,65," "," "," ",11,18,3,46,81,0,30
400,"Steve Ott",STL,C/LW,-41,82," "," "," ",9,14,-38,92,127,2,35
401,"Rich Peverley",DAL,C,-42,62," "," "," ",7,23,-3,15,122,3,42
402,"Brandon Bollig",CHI,LW,-42,82," "," "," ",7,7,-1,92,109,0,22
403,"Danny Briere",COL,C/RW,-43,69," "," "," ",13,12,1,30,118,6,11
404,"Nick Spaling",PIT,C/LW,-43,71," "," "," ",13,19,2,14,85,6,32
405,"Adam McQuaid",BOS,D,-43,30," "," "," ",1,5,12,69,25,0,42
406,"Michael Del Zotto",PHI,D,-43,67," "," "," ",3,13,-9,18,90,4,75
407,"Matt Martin",NYI,LW,-44,79," "," "," ",8,6,-11,90,120,0,42
408,"Deryk Engelland",CGY,D,-44,56," "," "," ",6,6,-6,58,59,1,52
409,"Kevin Klein",NYR,D,-44,76," "," "," ",2,7,-7,21,71,0,136
410,"Brett Bellemore",CAR,D,-44,62," "," "," ",2,6,0,41,54,0,94
411,"Marcel Goc",PIT,C/LW,-44,74," "," "," ",11,14,-7,35,117,2,43
412,"Gregory Campbell",BOS,C,-44,82," "," "," ",8,13,1,47,84,1,46
413,"Paul Gaustad",NSH,C/LW,-45,75," "," "," ",10,11,-6,61,74,0,55
414,"Alex Chiasson",DAL,RW,-45,79," "," "," ",13,22,-21,38,144,13,21
415,"Brad Richardson",VAN,C,-45,73," "," "," ",11,12,1,39,85,1,52
416,"Paul Ranger",TOR,D,-45,53," "," "," ",6,8,-1,36,59,0,72
417,"Matt Calvert",CBJ,LW,-45,56," "," "," ",9,15,-1,53,90,4,29
418,"Mark Fayne",EDM,D,-45,72," "," "," ",4,7,-5,30,88,0,83
419,"Alex Burrows",VAN,LW/RW,-45,49," "," "," ",5,10,-9,71,104,6,33
420,"Cory Conacher",NYI,LW,-46,79," "," "," ",7,19,1,50,100,1,27
421,"Kyle Palmieri",ANA,RW,-46,71," "," "," ",14,17,9,38,147,0,31
422,"Shawn Horcoff",DAL,C,-46,77," "," "," ",7,13,1,52,68,4,29
423,"Cory Sarich",COL,D,-46,54," "," "," ",1,9,7,38,48,0,66
424,"John Scott",BUF,LW/D,-46,56," "," "," ",1,0,-12,125,16,0,21
425,"Drew Stafford",BUF,RW,-46,70," "," "," ",16,18,-19,39,185,6,25
426,"Jiri Tlusty",CAR,LW,-46,66," "," "," ",16,14,2,22,130,1,38
427,"Matt Read",PHI,RW,-46,75," "," "," ",22,18,-4,16,151,2,54
428,"Paul Martin",PIT,D,-47,38," "," "," ",2,12,-4,8,53,9,72
429,"Tomas Fleischmann",FLA,LW,-47,80," "," "," ",8,20,-18,22,188,7,11
430,"Dwight King",LAK,LW,-47,77," "," "," ",15,15,16,18,111,1,17
431,"Steve Oleksy",WSH,D,-47,33," "," "," ",2,8,7,53,27,0,48
432,"Brock Nelson",NYI,C,-48,72," "," "," ",14,12,-10,12,132,6,38
433,"Brandon Sutter",PIT,C,-48,80," "," "," ",13,12,-8,12,143,4,40
434,"Matt Stajan",CGY,C,-48,63," "," "," ",14,19,-13,42,70,1,36
435,"Valeri Nichushkin",DAL,RW,-48,79," "," "," ",14,20,20,8,128,3,27
436,"Maxim Lapierre",STL,C/RW,-49,71," "," "," ",9,6,-3,78,78,0,18
437,"Sean Monahan",CGY,C,-49,75," "," "," ",22,12,-20,8,140,7,23
438,"Lance Bouma",CGY,C/LW,-49,78," "," "," ",5,10,-4,41,82,0,87
439,"David Schlemko",ARI,D,-49,48," "," "," ",1,8,2,18,61,3,79
440,"Ryan Smyth",EDM,LW,-50,72," "," "," ",10,13,-18,44,129,7,29
441,"Matt Greene",LAK,D,-50,38," "," "," ",2,4,6,47,38,0,59
442,"Mike Santorelli",TOR,C,-51,49," "," "," ",10,18,9,6,91,0,44
443,"Patrick Bordeleau",COL,LW,-51,82," "," "," ",6,5,-1,115,37,0,14
444,"Ilya Bryzgalov",MIN,G,-51,33,12,4,0.909," "," "," "," "," "," "," "
445,"Jonathan Ericsson",DET,D,-51,48," "," "," ",1,10,2,34,66,0,46
446,"Tuomo Ruutu",NJD,C/LW,-51,76," "," "," ",8,16,-18,44,105,3,34
447,"Michael Ryder",NJD,RW,-51,82," "," "," ",18,16,-6,18,166,8,10
448,"Marcus Foligno",BUF,LW,-51,74," "," "," ",7,12,-17,82,79,1,43
449,"John-Michael Liles",CAR,D,-51,40," "," "," ",2,7,5,8,56,4,79
450,"James Sheppard",SJS,C,-52,67," "," "," ",4,16,3,35,84,1,34
451,"Shawn Matthias",VAN,C,-52,77," "," "," ",12,11,-3,26,127,0,29
452,"Derek Dorsett",NYR,RW,-52,51," "," "," ",4,4,-1,128,67,0,27
453,"Mark Barberio",TBL,D,-53,49," "," "," ",5,5,10,28,54,1,38
454,"Riley Nash",CAR,C,-53,71," "," "," ",10,14,0,29,85,3,21
455,"Tim Gleason",CAR,D,-53,56," "," "," ",1,5,-21,65,43,0,88
456,"Mark Fraser",EDM,D,-53,42," "," "," ",1,1,-15,76,11,0,95
457,"Brian Lashoff",DET,D,-53,75," "," "," ",1,5,-2,36,38,0,93
458,"Evgeni Nabokov",TBL,G,-53,40,15,4,0.905," "," "," "," "," "," "," "
459,"Ryan Malone",TBL,LW,-53,57," "," "," ",5,10,-7,67,95,3,26
460,"Sheldon Brookbank",CHI,D,-54,48," "," "," ",2,5,2,52,43,0,38
461,"Martin Erat",ARI,LW/RW,-54,70," "," "," ",3,26,5,28,53,4,25
462,"Boyd Gordon",EDM,C,-54,74," "," "," ",8,13,-15,20,80,4,89
463,"Joe Colborne",CGY,C,-54,80," "," "," ",10,18,-17,34,80,4,33
464,"Anton Volchenkov",NSH,D,-54,56," "," "," ",0,8,3,20,42,0,91
465,"Eric Fehr",WSH,RW,-54,73," "," "," ",13,18,0,32,137,1,33
466,"Erik Cole",DAL,LW/RW,-54,75," "," "," ",16,13,-17,20,139,7,21
467,"John Erskine",WSH,D,-54,37," "," "," ",1,3,-5,56,38,0,66
468,"Tanner Glass",PIT,LW,-54,66," "," "," ",3,9,-8,85,54,0,57
469,"Carter Hutton",NSH,G,-54,40,20,1,0.91," "," "," "," "," "," "," "
470,"Dennis Seidenberg",BOS,D,-55,34," "," "," ",1,9,11,10,53,0,66
471,"Adam Pardy",WPG,D,-55,60," "," "," ",0,6,4,38,47,0,55
472,"Stephane Robidas",TOR,D,-55,38," "," "," ",5,5,10,20,56,0,49
473,"Darcy Kuemper",MIN,G,-55,27,12,2,0.915," "," "," "," "," "," "," "
474,"Nate Thompson",ANA,C,-56,81," "," "," ",9,7,3,27,105,0,45
475,"Tyler Toffoli",LAK,RW,-56,62," "," "," ",12,17,21,10,124,4,8
476,"Derek MacKenzie",FLA,C,-56,71," "," "," ",9,9,0,47,70,0,32
477,"Dmitry Orlov",WSH,D,-56,54," "," "," ",3,8,-1,19,59,1,62
478,"Nick Schultz",PHI,D,-56,69," "," "," ",0,5,-13,28,35,0,132
479,"Jesse Winchester",COL,C,-57,52," "," "," ",9,9,-2,38,100,1,21
480,"Dany Heatley",ANA,LW/RW,-57,76," "," "," ",12,16,-18,18,110,9,30
481,"Aleksander Barkov",FLA,C,-57,54," "," "," ",8,16,-3,10,87,6,27
482,"Brandon Pirri",FLA,C,-57,49," "," "," ",13,12,6,8,80,5,15
483,"Luke Gazdic",EDM,LW,-57,67," "," "," ",2,2,-8,127,30,0,22
484,"PA Parenteau",COL,RW,-57,55," "," "," ",14,19,3,30,110,3,16
485,"Ryane Clowe",NJD,LW/RW,-57,43," "," "," ",7,19,-10,33,74,8,19
486,"Michael Raffl",PHI,LW,-57,68," "," "," ",9,13,2,28,101,0,44
487,"Anton Belov",EDM,D,-57,57," "," "," ",1,6,-12,34,54,2,75
488,"Kyle Clifford",LAK,LW,-57,71," "," "," ",3,5,6,81,74,0,13
489,"Michal Rozsival",CHI,D,-57,42," "," "," ",1,7,7,32,39,0,43
490,"Shawn Thornton",BOS,LW,-58,64," "," "," ",5,3,3,74,93,0,19
491,"Ryan Murphy",CAR,D,-58,46," "," "," ",2,10,-7,10,77,3,55
492,"Lauri Korpikoski",ARI,LW,-58,64," "," "," ",9,16,-7,24,109,2,38
493,"Douglas Murray",MTL,D,-58,53," "," "," ",0,2,-12,42,26,0,115
494,"Dalton Prout",CBJ,D,-59,49," "," "," ",2,4,-7,37,56,0,65
495,"Zemgus Girgensons",BUF,C/LW,-59,70," "," "," ",8,14,-6,14,115,0,43
496,"Francis Bouillon",MTL,D,-60,52," "," "," ",2,4,-5,34,34,1,70
497,"Riley Sheahan",DET,C,-61,42," "," "," ",9,15,8,6,59,5,16
498,"Andrei Loktionov",CAR,C,-61,67," "," "," ",7,15,-2,14,78,6,14
499,"Eric Nystrom",NSH,LW,-61,79," "," "," ",15,6,-25,60,120,0,35
500,"Rene Bourque",MTL,LW,-61,63," "," "," ",9,7,-1,32,118,4,15
501,"Kyle Chipchura",ARI,C,-62,80," "," "," ",5,15,3,45,46,0,9
502,"Teemu Selanne",ANA,RW,-62,64," "," "," ",9,18,8,12,111,8,8
503,"David Clarkson",TOR,RW,-62,60," "," "," ",5,6,-14,93,102,2,35
504,"Daniel Carcillo",NYR,LW,-62,56," "," "," ",4,1,-1,98,43,0,21
505,"Chris Kelly",BOS,C,-62,57," "," "," ",9,9,2,32,69,0,29
506,"Yannick Weber",VAN,D,-62,49," "," "," ",6,4,-7,16,70,4,37
507,"Luca Sbisa",VAN,D,-62,30," "," "," ",1,5,0,43,30,0,38
508,"Paul Byron",CGY,C,-62,47," "," "," ",7,14,6,27,46,3,10
509,"Tomas Hertl",SJS,LW,-62,37," "," "," ",15,10,11,4,98,3,13
510,"Mark Fistric",ANA,D,-62,34," "," "," ",0,5,9,28,21,1,46
511,"David Moss",ARI,RW,-62,79," "," "," ",8,14,-1,18,151,2,49
512,"Dylan Olsen",FLA,D,-62,44," "," "," ",3,9,-3,8,60,1,55
513,"Marian Gaborik",LAK,RW,-63,41," "," "," ",11,19,7,10,103,7,10
514,"Simon Despres",PIT,D,-63,34," "," "," ",0,5,4,26,41,1,46
515,"Cody Ceci",OTT,D,-63,49," "," "," ",3,6,-5,14,82,0,49
516,"Martin Brodeur",NJD,G,-64,40,19,3,0.901," "," "," "," "," "," "," "
517,"Erik Haula",MIN,C/LW,-64,46," "," "," ",6,9,14,29,56,0,17
518,"Jakob Silfverberg",ANA,LW/RW,-64,52," "," "," ",10,13,2,12,119,1,20
519,"Victor Bartley",NSH,D,-64,50," "," "," ",1,5,0,23,21,0,79
520,"Michael Kostka",NYR,D,-64,28," "," "," ",4,7,10,8,49,0,33
521,"Travis Moen",MTL,LW,-64,65," "," "," ",2,10,2,49,56,0,54
522,"Keith Ballard",MIN,D,-64,45," "," "," ",2,7,-7,37,29,2,37
523,"Matt Nieto",SJS,C,-64,47," "," "," ",8,10,-4,14,91,3,35
524,"Ryan Reaves",STL,RW,-64,63," "," "," ",2,6,-1,126,25,0,12
525,"Grant Clitsome",WPG,D,-64,32," "," "," ",2,10,-5,18,42,2,42
526,"Ed Jovanovski",FLA,D,-64,37," "," "," ",1,4,-6,39,44,1,42
527,"Erik Gustafsson",PHI,D,-64,31," "," "," ",2,8,7,6,30,2,50
528,"Nikolai Kulemin",NYI,LW/RW,-64,70," "," "," ",9,11,-4,24,81,0,63
529,"Colin Greening",OTT,LW,-65,76," "," "," ",6,11,-15,41,108,3,30
530,"Devin Setoguchi",WPG,RW,-65,75," "," "," ",11,16,-7,22,129,3,37
531,"Casey Cizikas",NYI,C,-65,80," "," "," ",6,10,-12,30,79,2,48
532,"Tyler Kennedy",SJS,LW/RW,-65,67," "," "," ",4,13,-10,34,143,1,11
533,"Philip Larsen",EDM,D,-65,30," "," "," ",3,9,-4,8,47,5,31
534,"Brian McGrattan",CGY,RW,-65,76," "," "," ",4,4,-4,100,79,0,23
535,"Gabriel Bourque",NSH,LW,-65,74," "," "," ",9,17,-5,8,108,1,34
536,"Dominic Moore",NYR,C,-65,72," "," "," ",6,12,0,18,95,0,24
537,"Lubomir Visnovsky",NYI,D,-66,24," "," "," ",3,8,-1,10,34,6,26
538,"Jean-Sebastien Giguere",COL,G,-66,23,11,2,0.913," "," "," "," "," "," "," "
539,"Jon Merrill",NJD,D,-66,52," "," "," ",2,9,-3,12,45,2,41
540,"Ryan Strome",NYI,C,-67,37," "," "," ",7,11,-1,8,89,6,8
541,"Shane O'Brien",CGY,D,-67,45," "," "," ",0,3,-8,58,16,0,38
542,"David Booth",TOR,LW,-67,66," "," "," ",9,10,1,18,117,1,17
543,"Darren Helm",DET,C,-67,42," "," "," ",12,8,2,14,83,1,16
544,"Blake Comeau",PIT,LW,-67,61," "," "," ",5,11,-2,36,107,0,16
545,"Rob Klinkhammer",ARI,LW,-67,72," "," "," ",11,9,6,19,103,1,7
546,"Curtis Glencross",CGY,LW,-67,38," "," "," ",12,12,-11,12,77,8,27
547,"Todd Bertuzzi",DET,LW/RW,-67,59," "," "," ",9,7,-17,40,100,7,14
548,"Henrik Tallinder",BUF,D,-68,64," "," "," ",2,6,-21,34,40,0,76
549,"Tim Thomas",DAL,G,-69,48,18,1,0.908," "," "," "," "," "," "," "
550,"Damien Brunner",NJD,RW,-69,60," "," "," ",11,14,-11,26,110,10,5
551,"Brian Strait",NYI,D,-69,47," "," "," ",3,6,-14,14,40,0,86
552,"James Reimer",TOR,G,-69,35,12,2,0.911," "," "," "," "," "," "," "
553,"Cal Clutterbuck",NYI,RW,-69,73," "," "," ",12,7,-9,40,172,0,14
554,"Drew Miller",DET,LW,-69,82," "," "," ",7,8,-11,21,117,0,63
555,"Andrej Sustr",TBL,D,-69,43," "," "," ",1,7,3,16,39,0,36
556,"Jordan Nolan",LAK,C,-69,64," "," "," ",6,4,-1,54,58,0,11
557,"Philipp Grubauer",WSH,G,-69,18,6,0,0.925," "," "," "," "," "," "," "
558,"Martin Marincin",EDM,D,-69,44," "," "," ",0,6,-2,16,28,1,60
559,"Zenon Konopka",BUF,C,-70,59," "," "," ",1,2,-9,88,21,0,26
560,"Pascal Dupuis",PIT,LW/RW,-70,38," "," "," ",7,13,7,8,92,0,28
561,"Michal Handzus",CHI,C,-70,59," "," "," ",4,12,0,16,50,0,55
562,"Mattias Ekholm",NSH,D,-70,62," "," "," ",1,8,-8,10,58,0,55
563,"Kevin Connauton",DAL,D,-70,36," "," "," ",1,7,-6,16,56,2,29
564,"Bryce Salvador",NJD,D,-70,40," "," "," ",1,3,-2,29,24,0,50
565,"Mark Pysyk",BUF,D,-71,44," "," "," ",1,6,-11,16,51,1,57
566,"Jay McClement",CAR,C,-71,81," "," "," ",4,6,-8,32,67,0,57
567,"Brian Flynn",BUF,C,-71,79," "," "," ",6,7,-10,14,102,0,55
568,"Connor Murphy",ARI,D,-71,30," "," "," ",1,7,5,10,30,0,38
569,"Brooks Laich",WSH,C,-71,51," "," "," ",8,7,-7,16,75,3,35
570,"Viktor Stalberg",NSH,LW,-72,70," "," "," ",8,10,-14,32,114,0,25
571,"Manny Malhotra",MTL,C,-72,68," "," "," ",7,6,0,18,51,0,56
572,"Elias Lindholm",CAR,C,-72,56," "," "," ",9,12,-11,4,70,7,16
573,"Ben Smith",CHI,RW,-73,75," "," "," ",14,12,3,2,90,2,58
574,"Justin Peters",WSH,G,-73,22,7,1,0.919," "," "," "," "," "," "," "
575,"Joe Corvo",OTT,D,-73,25," "," "," ",3,7,-7,10,54,2,24
576,"Trevor Lewis",LAK,C,-73,73," "," "," ",6,5,-1,6,111,0,36
577,"Patrick Dwyer",CAR,RW,-74,73," "," "," ",8,13,-2,14,130,0,45
578,"Connor Carrick",WSH,D,-74,34," "," "," ",1,5,-9,23,26,0,56
579,"Eric Boulton",NYI,LW,-74,23," "," "," ",2,2,0,88,21,0,6
580,"Jannik Hansen",VAN,RW,-74,71," "," "," ",11,9,-9,43,112,1,22
581,"Keaton Ellerby",WPG,D,-74,51," "," "," ",2,4,4,2,33,1,46
582,"Robin Lehner",OTT,G,-74,37,12,1,0.913," "," "," "," "," "," "," "
583,"Mark Arcobello",EDM,C,-75,41," "," "," ",4,14,-7,8,70,3,23
584,"Nate Schmidt",WSH,D,-75,29," "," "," ",2,4,4,6,41,0,35
585,"TJ Galiardi",CGY,LW,-75,62," "," "," ",4,13,-13,21,100,0,43
586,"Daniel Paille",BOS,LW,-75,72," "," "," ",9,9,9,6,71,0,30
587,"Joe Vitale",ARI,C,-75,52," "," "," ",1,12,-1,29,40,1,22
588,"Jarred Tinordi",MTL,D,-75,22," "," "," ",0,2,-2,40,10,0,27
589,"Justin Fontaine",MIN,RW,-76,66," "," "," ",13,8,6,26,79,2,23
590,"Ryan Carter",NJD,C,-76,62," "," "," ",7,3,-6,35,69,0,24
591,"B.J. Crombeen",TBL,RW,-76,55," "," "," ",3,7,-2,79,60,0,15
592,"Dale Weise",MTL,RW,-77,61," "," "," ",6,10,3,59,41,0,26
593,"Ondrej Pavelec",WPG,G,-77,57,22,1,0.901," "," "," "," "," "," "," "
594,"Mark Borowiecki",OTT,D,-77,13," "," "," ",1,0,-2,48,6,0,13
595,"Tim Jackman",ANA,RW,-77,36," "," "," ",4,1,-3,103,46,0,4
596,"Rob Scuderi",PIT,D,-77,52," "," "," ",0,4,-8,2,27,0,88
597,"Anders Lee",NYI,C,-77,22," "," "," ",9,5,3,14,68,2,2
598,"Jeff Zatkoff",PIT,G,-78,21,12,1,0.912," "," "," "," "," "," "," "
599,"Corey Potter",CGY,D,-78,19," "," "," ",0,5,-1,21,17,2,18
600,"Jordan Leopold",STL,D,-78,27," "," "," ",1,5,1,6,40,1,24
601,"Michael Grabner",NYI,RW,-78,64," "," "," ",12,14,-10,12,137,0,25
602,"Stephen Gionta",NJD,C/RW,-79,66," "," "," ",4,7,-8,18,89,0,25
603,"Nail Yakupov",EDM,RW,-79,63," "," "," ",11,13,-33,36,122,6,23
604,"Erik Condra",OTT,RW,-79,76," "," "," ",6,10,0,30,85,0,44
605,"Rostislav Klesla",ARI,D,-79,25," "," "," ",1,3,-3,24,22,0,25
606,"Bryan Bickell",CHI,LW,-79,59," "," "," ",11,4,-6,28,93,0,10
607,"Marty Havlat",SJS,RW,-79,48," "," "," ",12,10,14,10,72,2,14
608,"Cody McCormick",BUF,C,-80,43," "," "," ",2,5,-6,52,26,0,21
609,"Joakim Andersson",DET,C,-80,65," "," "," ",8,9,-11,12,78,0,25
610,"Peter Regin",CHI,C/LW,-80,61," "," "," ",4,7,-5,20,69,1,19
611,"Peter Harrold",NJD,RW/D,-80,33," "," "," ",0,4,-2,14,32,0,29
612,"Brian Gibbons",CBJ,C,-80,41," "," "," ",5,12,5,6,29,1,19
613,"Jean-philippe Cote",TBL,D,-81,19," "," "," ",0,4,0,22,12,0,22
614,"Tyson Strachan",BUF,D,-81,18," "," "," ",0,2,-2,28,7,0,30
615,"Paul Bissonnette",ARI,LW,-81,39," "," "," ",2,6,6,53,25,0,4
616,"Ryan Wilson",COL,D,-81,28," "," "," ",0,6,1,12,23,0,17
617,"Jay Beagle",WSH,C,-81,62," "," "," ",4,5,-9,28,60,0,32
618,"Dave Bolland",FLA,C,-82,23," "," "," ",8,4,-1,24,33,2,13
619,"Carlo Colaiacovo",STL,D,-82,25," "," "," ",1,3,-4,18,18,1,26
620,"Jeff Halpern",ARI,C,-82,69," "," "," ",5,7,-8,24,45,0,33
621,"Peter Holland",TOR,C,-82,43," "," "," ",6,5,0,18,43,1,22
622,"Chris Thorburn",WPG,RW,-82,55," "," "," ",2,9,0,65,26,0,34
623,"Adam Larsson",NJD,D,-82,26," "," "," ",1,2,-1,12,20,0,37
624,"Nikita Kucherov",TBL,RW,-82,52," "," "," ",9,9,3,14,102,2,19
625,"Scott Gomez",FLA,C,-82,46," "," "," ",2,10,-11,24,56,2,16
626,"Jay Rosehill",PHI,LW,-82,34," "," "," ",2,0,-8,90,14,0,4
627,"Mike Brown",SJS,RW,-82,56," "," "," ",2,3,-9,94,45,0,15
628,"Ryan Jones",EDM,LW,-83,52," "," "," ",2,4,0,40,59,0,21
629,"Curtis McElhinney",CBJ,G,-83,29,10,2,0.909," "," "," "," "," "," "," "
630,"Ryan Spooner",BOS,C,-83,23," "," "," ",0,11,0,6,42,6,6
